ID,claim
1,Nhưng Nhật Bản vào vòng sau nhờ chỉ số fairplay vì nhận ít thẻ phạt hơn.
1,"Với tinh thần của những võ sĩ đạo Samurai, nhưng đội tuyển Nhật Bản đã có những hành động thiếu tinh thần thượng võ trong thi đấu tại World Cup, để lại nhiều chỉ trích và bất bình cho toàn dân, làm mất hình ảnh kiên cường của người dân Nhật Bản trên đấu trường quốc tế."
1,Đó là lý do đội tuyển áo xanh được mệnh danh Samurai xanh.
1,"Các cầu thủ Nhật vui vẻ sau trận thua Ba Lan 01, có vé vào vòng 16 đội."
1,"Tại World Cup 2018, FIFA sẽ tính điểm fair play, theo quy định 1 thẻ vàng 1 điểm; 2 thẻ vàng thành thẻ đỏ 3 điểm; thẻ đỏ trực tiếp 4 điểm."
1,Nhật có 4 thẻ vàng còn Senegal có đến 6.
1,Họ liên tục chuyền bóng qua lại ở phần sân nhà.
1,"Trong khi đó, đội cùng đi tiếp với Nhật là Colombia sẽ gặp ĐT Anh."
2,"Với tinh thần của những võ sĩ đạo Samurai, nhưng đội tuyển Nhật Bản đã có những hành động thiếu tinh thần thượng võ trong thi đấu tại World Cup, để lại nhiều chỉ trích và bất bình cho toàn dân, làm mất hình ảnh kiên cường của người dân Nhật Bản trên đấu trường quốc tế."
3,"Dưới đây là một số hình ảnh học sinh và giáo viên ở Nghệ An lội bùn băng rừng đến trường: Xã biên giới Mường Típ, Mường Ải, huyện miền núi Kỳ Sơn, Nghệ An là một trong những nơi đã bị lũ dữ ập đến."
3,"Thầy Nguyễn Công Danh, Hiệu trưởng Trường Phổ thông dân tộc bán trú THCS Nập Típ huyện Kỳ Sơn cho biết, đến thời điểm hiện tại, các giáo viên của trường mới chỉ vận động được 184387 học sinh THCS đến trường học và 180197 học sinh ở bậc tiểu học đến trường học trở lại."
3,"Để đến trường với đoạn đường chưa đến 2km, nhiều em học sinh nơi đây phải trầy trựợt suốt hơn 2 giờ đồng hồ."
3,"Các học sinh và giáo viên ở những nơi lũ đi qua, rất cần được sự giúp đỡ để vượt qua khó khăn này."
4,"Giáo sư Nguyễn Lân Dũng: Con tôi thành đạt nhờ cách đánh vần ô vuông tam giác GS.Nguyễn Lân Dũng khẳng định: Con ông, PGS.TS Nguyễn Lân Hiếu thành công nhờ phương pháp học tiếng Việt của GS Hồ Ngọc Đại."
4,Con trai tôi là PGS. Nguyễn Lân Hiếu và bạn học của con tôi là GS Ngô Bảo Châu là những thế hệ học sinh đầu tiên học theo phương pháp này.
4,"Nói thêm về phương pháp học đánh vần tiếng Việt theo hình thức ô vuông tam giác của giáo sư Hồ Ngọc Đại, giáo sư Nguyễn Lân Dũng chỉ rõ, phương pháp học tiếng Việt của trường Thực Nghiệm có sự lô gíc hợp lý về mặt sư phạm và tâm lý con người và nó có sự khác biệt."
4,Mỗi chữ cái đều có tên gọi và có sự khác biệt giữa âm và chữ.
4,"Sự thành công của các học sinh cũng là lý do mà có những thời điểm các bậc phụ huynh ở Hà Nội chen nhau đăng ký cho con vào học ở trường Thực Nghiệm, chen chân xếp hàng chờ nộp đơn vào trường từ đầu cấp đến mức xô đổ cửa cổng trường như cách đây vài năm từng xảy ra."
5,"Mới đây, ông Phạm Ngọc Thanh, Phó giám đốc Sở GD ĐT Tp. Hồ Chí Minh chuyên trách về Hệ giáo dục Đại học tại thành phố đã lên tiếng về vấn đề cải cách tiếng Tiếng Việt của PGS.TS Bùi Hiền."
5,"Đề xuất cải tiến chữ viết của PGS Bùi Hiền Ông Phạm Ngọc Thanh cũng cho biết thêm, ngoài đảm đương chức vụ Phó Giám đốc Sở GDĐT TP.HCM, ông còn là cổ đông lớn có quyền quyết định về chuyên môn tại Đại học HUTECH."
5,"Thưa PGSTS Bùi Hiền, cháu không phải là giới nghiên cứu."
5,"Sở dĩ những phát minh trong quá khứ được công nhận là bởi nó không ảnh hưởng đến tình cảm, tư tưởng của mọi người."
5,"Kiểu như khi thấy con trăn đói lao vào tấn công, người ta sẽ nhanh chóng chộp lấy khúc cây."
5,"Mặc dù họ không muốn sát sinh bất kỳ con gì, nhưng vì buộc phải tự vệ, điều đó là đúng."
5,Người Việt ở các nước trên thế giới đều phải học lại tiếng Việt.
5,Muốn làm được việc đó lại phải tốn kém không biết bao nhiêu là tiền.
5,"Mọi nghiên cứu khoa học đều phải có mục đích nhân văn, kinh tế, xã hội."
8,"Trong cơn bão tranh luận về chương trình công nghệ giáo dục những ngày vừa qua, có những người từng là sản phẩm của chương trình này đã lên tiếng."
8,"Chính họ là người đã trải nghiệm được chương trình này như thế nào, tốt hay không tốt đối với bản thân mình."
8,"Để rộng đường dư luận, Thanh Niên xin giới thiệu bài viết của chị Hà Việt Anh, nguyên Thư ký tòa soạn tạp chí Mẹ và Bé, cũng là cựu học sinh của chương trình này."
8,Theo tôi có 2 điều.
8,"Hồi tôi còn bé, lúc nào chị em tôi cũng chỉ mong đến trường, mong gặp thầy, gặp bạn."
8,Dù ai có phủ nhận thì đó là quyền của họ.
9,Quận Hoàn Kiếm Hà Nội đề xuất cấm không cho mang chó vào không gian phố đi bộ quanh hồ Gươm.
9,"Tuy nhiên có cái khó là trong trường hợp nếu bắt những con chó đó, dù nhốt ở đâu thì cũng chỉ được trong vòng 24 tiếng là phải xử lý về trạm."
9,Quận Hoàn Kiếm đề xuất mở rộng không gian đi bộ phía Nam khu phố cổ kết nối phía Bắc khu vực Hồ Hoàn Kiếm để giảm áp lực đông người.
9,Số cửa hàng kinh doanh chuyển sang dịch vụ du lịch tăng gần 600 cơ sở.
10,Người khác lại cho biết họ thấy hình ảnh chuyển động rất nhanh và đau đầu khi nhìn chúng quá lâu.
10,"Bức ảnh chính xác là một hình ảnh tĩnh 100, bà Alice nói."
10,"Hiệu ứng này được tạo ra trong vỏ não thị giác, có trách nhiệm xử lý mọi thứ con người thấy."
10,"Trong vùng vỏ não thị giác có các V1, V2, V3, V4 và V5."
10,Hiệu ứng này được kích hoạt bởi độ bão hòa của các tế bào thần kinh V4 khiến tốc độ các nơron V5 di chuyển được hiểu là tín hiệu cảm giác.
10,"Về cơ bản, nó là một ví dụ về sự cạnh tranh trong vỏ não thị giác."
11,Số lượng các bé gặp trường hợp trên rất nhiều nên các cô phải gọi cấp cứu và báo ngay cho phụ huynh của các bé.
11,Xét nghiệm ban đầu từ một số trẻ nhập viện sớm cho thấy trị số độc chất Acepromazin trong máu các bé cao bất thường.
11,Cũng theo bác sĩ đây là chất có trong thuốc an thần thường được tiêm cho lợn trước khi giết mổ.
11,"Hiện các bé đang được cấp cứu khẩn trương bằng biện pháp làm sạch dạ dày và truyền dịch, thuốc giải độc."
11,"Theo bà Trần Huỳnh Liên, hiệu trưởng trường mầm non S.C nơi có hơn 30 bé nhập viện trong trưa nay, cho biết trưa nay nhà trường cho các bé ăn trưa bằng thịt heo kho, rau xào và món canh."
11,Hiện bà từ chối cung cấp thêm thông tin nhưng cho biết không loại trừ trường hợp thịt heo trong bữa ăn đã bị tiêm thuốc an thần với liều lượng cao mà báo chí gần đây đưa tin.
11,"Hiện nay, đại diện Chi cục Vệ sinh An toàn Thực phẩm đã tiến hành thu mẫu thực phẩm để tiến hành điều tra tìm ra nguyên nhân."
11,"Khoảng 22h30 ngày 289, các trinh sát của phòng 7 C49B chia làm hai mũi, bất ngờ ập vào khu nhốt heo mổ gia công cùng nằm trong lò mổ Xuyên Á của bà Nguyễn Thị Tuyết Nhung ngụ Q.12, bắt quả tang ông Nguyễn Văn Dung 41 tuổi và Vũ Văn Vĩ 27 tuổi, cùng quê Nam Định đang tiêm thuốc an thần vào đàn heo."
11,"Trong hai người, một người được phân công nhiệm vụ tiêm, một người đi sau dùng sơn đánh dấu."
11,"Thông thường, heo được các thương lái ở các địa phương vận chuyển về tập kết ở lò Xuyên Á đợi giết mổ."
11,"Qua kiểm tra, lực lượng C49B thu giữ tang vật gồm 6 lọ Combistress dung tích 50ml và 51 chai nước dạng chai truyền dịch dung tích 500ml đã pha thuốc an thần."
11,"Theo lời khai ban đầu của chủ lô heo, thuốc an thần do các lái heo cung cấp, 1 lọ thuốc an thần 50ml pha được 500ml, trung bình mỗi con heo được tiêm 2cc thuốc an thần."
12,"Một cán bộ của Chi cục đưa ra lí do, gần đây lượng chó hoang được bắt về trụ sở ngày càng nhiều hơn."
12,"Cũng có trường hợp chủ đến nộp phạt và nhận lại chó, nhưng trường hợp chó hoang không chủ vẫn nhiều hơn cả."
13,"Tuy nhiên, ngày 139 cơ quan Công an quận Bình Tân cho biết vừa bắt được đối tượng giả mạo đội săn bắt chó của Chi cục Thú y TP.HCM."
13,Tuy nhiên không thấy dấu hiệu nào giống hình ảnh đội săn bắt trên mạng.
13,"Tại cơ quan công an, hai thanh niên này đã lộ nguyên hình là những tay trộm chó chuyên nghiệp, từng có tiền án về trộm chó là Ngô Hải Đăng 17 tuổi và Huỳnh Hữu Nghĩa 24 tuổi, cùng ngụ huyện Mỹ Xuyên, Sóc Trăng."
14,"Tổng giám đốc Công ty Xăng dầu IQ8 có mặt tại trạm xăng dầu Thăng Long, ông đội mưa hàng tiếng đồng hồ, cúi chào khách vào đổ xăng."
14,"Lấy lí do người Việt Nam tự hào hàng Việt Nam, người Việt Nam nên ưu tiên dùng hàng Việt Nam."
14,"Ngoài công văn trình lên UBND, Hiệp hội các doanh nghiệp xăng dầu cũng gửi kèm những văn bản đến các doanh nghiệp vận tải là đối tác của Hiệp hội các doanh nghiệp xăng dầu."
14,"Trong văn bản, Hiệp hội đề nghị các doanh nghiệp xăng dầu thành viên của mình nên mạnh tay với các doanh nghiệp vận tải có hành động đổ xăng tại trạm xăng IQ8."
14,"IQ8 là công ty liên doanh giữa Kuwait International Petroleum của Kuwait và Idemitsu Kosan Nhật Bản thành lập hơn một năm trước, mỗi bên sở hữu 50 vốn điều lệ."
14,"Dự kiến, sau Idemisu Q8 khai trương tại Hà Nội, Idemisu Q8 sẽ lần lượt xuất hiện tại một số tỉnh khu vực phía nam."
15,"Sinh ra trong hoàn cảnh nghèo khổ, mẹ bệnh tật nằm viện nhiều năm trời, chàng trai 24 tuổi với bao hoài bão lập nghiệp để có khả năng chữa bệnh cho mẹ."
15,"Mới 3 tháng, Sáng đã ốm yếu, da dẻ nứt toát như da rắn."
16,"Cách thực hiện khá dễ dàng, bạn chỉ cần rửa mặt thật sạch bằng sữa rửa mặt cùng nước ấm sau đó dùng tăm bông chấm vào bé mụn."
16,"Tạm biệt, những nốt mụn xấu xí trong một đêm nhé."
16,Để như vậy trong khoảng 30 phút rồi rửa sạch lại mặt bằng nước ấm.
16,"Khi chườm đá lên những nốt mụn, ngay lập tức những lỗ chân lông của bạn sẽ bị đóng lại và loại bỏ hết những bụi bẩn cũng như dầu dư thừa ra ngoài."
16,"Nhưng không sai đâu, tỏi có chiếm lượng hoạt tính cao, là công thức trị mụn cấp tốc sau một đêm."
17,"Trong bộ ảnh này, thay cho nét thư sinh ngày nào, Erik đã mạnh dạn cởi áo khoe body."
17,"Tuy nhiên, đây mới chính là phong cách mà anh muốn hướng tới để làm mới bản thân, như một bước thử nghiệm để chuyển mình, trở thành Erik phiên bản trưởng thành hơn trong thời gian tới."
17,Có lẽ nam ca sĩ đang chuẩn bị trở lại với một sản phẩm mới toanh đánh dấu bước ngoặt lớn trong phong cách của mình.
18,"Đạo diễn Michael Mann đã gặp nguyên tổng biên tập báo Thanh Niên Nguyễn Công Khế và đạo diễn Nguyễn Trung Trực chồng ca sĩ Trịnh Vĩnh Trinh em nhạc sĩ Trịnh Công Sơn, để bàn về việc hợp tác dịch vụ thực hiện phim Huế 1968 8 tập."
18,Michael Mann có một cái nhìn hoàn toàn mới về Huế năm 1968.
18,"Đuợc biết phim dự tính chi tiêu tại chỗ khoảng 70 triệu USD, trong việc sử dụng từ 300350 người Việt , gồm diễn viên, thành viên làm phim, trợ tá, vận chuyển cùng những người phục vụ khác."
18,"Hy vọng những vấn đề về Huế 1968 đang còn nhiều bất đồng giữa các bên thắng cuộc,thua cuộc không cản trở việc làm phim này ở Việt Nam như với Pink Ville hay Nỗi buồn chiến tranh."
18,Được biết lần đầu tiên người Việt có những vai quan trọng trong phim.
19,Anh sinh năm 1991.
19,Anh bị khuyết tật cả ở tay và chân.
19,Lê Minh Châu trưởng thành tại làng trẻ em Hòa Bình.
19,Lê Minh Châu có biệt tài vẽ tranh bằng miệng.
19,"17 tuổi, anh rời khỏi làng trẻ em Hòa Bình và tự mở phòng tranh cho riêng mình."
19,Phim từng được Viện Hàn lâm Khoa học và Nghệ thuật điện ảnh Mỹ trao đề cử Top 5 phim tài liệu ngắn xuất sắc tại Oscar 2016.
19,"Hiện tại, họa sĩ Lê Minh Châu đang ở Mỹ."
19,Họa sĩ khuyết tật Lê Minh Châu bên ngôi sao có ghi tên mình được gắn trên Đại lộ Danh vọng ở Hollywood.
19,"Đại lộ Danh vọng là một lề đường nằm dọc đại lộ Hollywood bang California, Mỹ."
20,"Cụ bà Estela Melendez, 92 tuổi sinh sống một thị trấn nhỏ thuộc vùng La Boca, Chile cho biết bà bị ngã nên đã đến bệnh viện chụp Xquang, siêu âm và kiểm tra sức khỏe."
20,"Tuy nhiên, kết quả kiểm tra khiến ai cũng phải kinh ngạc vì bác sĩ phát hiện trong bụng bà Estela Melenadez có một bào thai kì lạ."
20,Do biết là u lành tính không gây nguy hiểm đến sức khỏe nên bà cũng không đi phẫu thuật trong mấy chục năm qua.
20,Nhưng bà chưa bao giờ biết rằng bản thân mang thai.
20,Chồng cụ Melendez đã mất cách đây mấy chục năm.
20,Bà cụ không muốn bỏ bào thai vì vẫn tin tưởng đó là món qua chồng bà tặng bà trong mấy chục năm qua.
20,Nguyện vọng của cụ bà cũng được các bác sĩ chấp thuận bởi trường hợp phẫu thuật loại bỏ thai nhi cho bà cụ hơn 90 tuổi sẽ gặp nguy hiểm cao hơn là họ không làm gì.
20,"Dù sao, bào thai này cũng không gây nguy hiểm đến tính mạng hay sức khỏe của cụ bà."
21,Tôi không muốn chồng buồn nên vẫn cắn răng chịu đựng.
21,Tôi và chồng yêu nhau từ thời cấp 3.
21,"Tôi hay bị cước chân nên anh ấy nhờ bạn mua thuốc ngâm chân của bà con dân tộc về, tự đun và giúp tôi ngâm chân."
21,"Chỗ đó của anh ấy rất nhỏ, không có khả năng giương nòng."
21,"Tôi không biết đối diện với anh ấy như với chồng hay như với chị em gái Ảnh minh họa IT Có lẽ, cuộc sống của chúng tôi vẫn êm đềm trôi qua như vậy nếu gia đình chồng không sốt sình sịch vì chuyện 3 năm tôi vẫn chưa có thai."
21,Chỉ có tôi gày nhẳng nên mới như con cá khô không sinh nở.
21,Điều đó lý giải cho việc chồng tôi không được và chỗ đó rất nhỏ.
21,Tôi rất yêu chồng nhưng bây giờ thì không biết nên đối diện với anh ấy như chồng hay như với chị em gái.
22,"Khi khỏe mạnh, bà phải tự mình mưu sinh."
22,"Lúc ốm đau, bà đành nhờ vả người em trai sống gần nhà."
22,"Căn nhà cũ kỹ của bà Đỡ Ảnh: Facebook Căn nhà cũ kỹ của bà Đỡ Ảnh: Facebook Biết hoàn cảnh thương tâm của bà Đỡ, nhiều người đã tìm đến căn nhà cũ kỹ hỏi thăm."
22,"Bà ơi, bà có lạnh không?."
22,"Một lúc sau, bà Đỡ mới phản ứng như muốn chống lại cơn lạnh buốt."
22,"Chân tay run hết cả lên rồi!, chị này tiến ra ngoài và báo cho mọi người đến thăm biết tình hình của cụ."
22,"Hình ảnh bà Đỡ co ro trong tấm chiếu cũ Ảnh: Facebook Hình ảnh bà Đỡ co ro trong tấm chiếu cũ Ảnh: Facebook Sau khi câu chuyện và hình ảnh thương tâm của bà Đỡ đăng tải, cộng đồng mạng không khỏi xót xa."
23,"Một phụ nữ bịt mặt bắt cóc cháu bé 5 tuổi bị người dân tóm gọn Ngày 6.5, Công an thị xã Phước Long, tỉnh Bình Phước đã tạm giữ bà Lê Thị Xuyến 46 tuổi, ngụ phường Long Phước, thị xã Phước Long để điều tra về việc bắt cóc trẻ em."
23,"Theo đó, khoảng 7h30 cùng ngày, thấy cháu V.T."
23,"Đ 5 tuổi, phường Long Phước đang chơi trước sân nhà nên bà Xuyến bịt khăn che kín mặt, chạy xe máy đảo qua rồi dừng lại dụ dỗ cháu lên xe."
23,Sau khi bà Xuyến chở cháu ra khỏi nhà thì bị người thân phát hiện và đuổi theo gần 1km mới tóm lại được.
23,Lực lượng chức năng đã có mặt tại hiện trường và đưa bà Xuyến về trụ sở để làm rõ động cơ bắt cóc cháu Đ.
23,"Được biết, bà Xuyến thuê nhà ở trọ tại khu phố 9, phường Long Phước, cách nhà cháu Đ khoảng 2km để cư trú."
23,"Tiến hành khám xét, lực lượng phát hiện trong nhà bà Xuyến có 1 cháu bé dưới 10 tuổi bị khóa cửa nhốt trong nhà."
23,Các cán bộ Công an đang đấu tranh với đối tượng để làm rõ động cơ việc bắt cháu Đức.
24,Nhưng đó không phải là việc tôi quan hệ với chồng tôi.
24,Trông ông còn phương phi và phong độ lắm.
24,"Ông bà sinh được cả thảy 4 người con, hai trai và hai gái."
24,Có bàn chăng là bàn về hai người con trai của họ mà thôi.
24,"Mấy năm đằng đẵng, bố mẹ chồng tôi liên tục gửi tiền lên cho anh ăn học, nào ngờ số tiền ấy Tâm nướng hết vào cái chất chết người kia."
24,Bố chồng tôi ông Quyền là giám đốc một công ty xuất khẩu có tiếng trên thành phố.
24,Cơ ngơi của ông có vào khoảng hơn bốn chục tỷ đồng.
24,"Bà biết chồng buồn nhưng cũng không dám lên tiếng, sợ ông lại buồn thêm."
24,"Tôi được biết đã nhiều lần, ông bảo bà Bà xem ở trong làng có con bé nào thì nhắm cho thằng Đắc một đứa."
24,Rồi ông ngấm ngầm đi tìm vợ cho con nhưng không phải người làng mà là người của công ty.
24,"Và người đó không ai khác, chính là tôi."
24,"Một lần, trên đường đi công tác, ông tâm sự với tôi về chuyện tìm vợ cho Đắc."
24,"Sau cái lần nó bị tai nạn giao thông, bình thường thì không sao, nhưng nhiều lúc nó không được khôn như người ta."
24,Không lấy được vợ cho nó thì cái cơ ngơi của công ty sau này không biết giao lại cho ai?.
24,"Tôi động viên ông Cháu nghĩ, anh ấy không khó lấy vợ đến thế đâu bác ạ."
24,Bác đừng lo quá như thế.
24,Ừ thì bác cũng mong là thế.
24,Tôi không nói gì mà chỉ mủm mỉm cười.
24,Thực tình thì trông Đắc cũng không đến nỗi nào.
24,"Chỉ tội, có lúc trông anh ngô nghê của một người thần kinh không bình thường Rồi tôi được bố chồng tương lai đưa về nhà để gặp Đắc."
24,"Tiếp xúc với tôi, Đắc tỏ ra là một người bình thường."
24,"Tuy nhiên, trong cử chỉ và lời nói có lúc anh tỏ ra không được khôn cho lắm."
24,Thực ra thì tôi không phải là người ham của.
24,"Mà ở đời thì được thứ này, mất thứ kia chứ mấy ai được tất cả bao giờ đâu."
24,Vậy là tôi quyết định lấy Đắc và làm dâu ông bà Quyền.
24,Những người được bố chồng tôi giúp đỡ giờ được dịp Trả ơn.
24,"Những món quà mừng cưới đắt giá, bố mẹ chồng tôi giao hết cho tôi."
24,"Đêm tân hôn và mấy tháng sau đó, Đắc không làm tròn bổn phận của một người đàn ông."
24,"Đã có lúc, tôi trộm nghĩ hay là mình tìm một ai đó khỏe mạnh để xin họ một đứa mà đẻ, mà nuôi để hợp lý hóa và để sau này nó hưởng cái gia sản kia chăng."
24,"Hơn nữa, tôi làm cùng công ty với bố chồng thì làm sao có thời gian, có cơ hội để tìm người khác mà thực hiện cái ý định của mình được."
24,"Một ngày chủ nhật, mẹ chồng tôi và Đắc được lái xe của bố chồng chở về thăm ngoại."
24,Chỉ có tôi và bố chồng ở nhà.
24,"Ông hỏi tiếp Đắc thế nào, nó có làm được cái chuyện ấy không?."
24,"Ông nhẹ nhàng vỗ về, dỗ dành rồi kéo tôi ngả vào vai ông."
24,"Bố tưởng thằng Đắc sẽ làm được việc đó, nào ngờ."
24,"Con thật đáng thương Nhưng Thắm này, bây giờ con đã là người của gia đình này rồi, đã mang tiếng là gái có chồng."
24,Việc này chỉ có hai người mình biết với nhau thôi.
24,"Ngay lập tức, ông đi nhanh ra khóa cổng lại, rồi trở vào."
24,"Ông cúi xuống, nhẹ nhàng bế tôi vào phòng."
24,Rồi tôi có thai.
24,"Cả gia đình, họ hàng như đang trong tình trạng chết đuối nay vớ được cọc."
24,Họ thở phào nhẹ nhõm.
24,Bố chồng tôi chỉ tủm tỉm cười mà không nói câu nào.
24,Tôi không ra buồn cũng chẳng ra vui.
24,"Số tử vi của thằng Đắc rặt con trai thôi, không có con gái đâu mà lo."
24,"Và tôi, lẽ ra tôi là con dâu của bố mẹ chồng mình thì nay tôi lại là vợ hai của bố chồng."
24,"Còn với mẹ chồng, lẽ ra tôi là con của bà thì thực tế tôi đang là thiếp của bà mà bà không hay biết Chỉ có tôi và bố chồng là biết tất cả."
24,Rồi cuộc sống của tôi sẽ đi tới đâu.
25,"Sau khi phía Đức nhận được từ Việt Nam thư trả lời về vụ việc ông Trịnh Xuân Thanh, nội các chính phủ nước này đã có cuộc họp và đi đến nhất trí đưa ra quyết định hôm 22.9 tạm thời đình chỉ quan hệ đối tác chiến lược giữa Đức và Việt Nam, đồng thời trục xuất thêm 1 cán bộ ngoại giao tại Đại sứ quán Việt Nam ở Berlin."
25,Các nước trong Liên minh châu Âu EU cũng đã bắt đầu đồng hành với nước Đức.
25,"Có lẽ để cố chứng minh cho việc Chính phủ không liên quan đến vụ bắt cóc ông Trịnh Xuân Thanh, hôm 25.9 Thủ tướng Nguyễn Xuân Phúc vội gửi lời chúc mừng đảng Liên minh Dân chủ Thiên chúa giáo của bà Thủ tướng Đức Angela Merkel đã đắc cử nhiệm kỳ mới, nhưng điều mà phía Đức cần là một lời xin lỗi thì vẫn không hề được đưa ra."
25,Các nước EU đã đồng hành với Đức đăng trên Facebook Thông cáo báo chí của Bộ Ngoại giao Đức.
26,Hiệu trưởng Trường dạy nghề điều dưỡng Sowi Gregor Weiß đã cung cấp thông tin về vấn đề này.
26,Cơ quan Lao động cũng đã được tham vấn về dự án này.
